"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","5175","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","6.682731","0","10"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","5","1","1","11.765696","0","21"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","5","1","1","12.798862","0","21"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","9","2","1","21.677437","0","47"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","1","1","11.555100","0","13"
"/MovieRenderPipeline/Materials/MoviePipeline_StencilCutout.MoviePipeline_StencilCutout","0","17","1","1","51.815277","0","163"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","60","1","1","142.727386","0","1848"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","98","1","1","228.753052","0","4173"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","60","1","1","175.704575","0","425"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","9","9","1","14.923488","0","15"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","3","1","87.519623","0","147"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","3","1","44.321571","0","70"
"/Engine/VREditor/TransformGizmo/Main.Main","0","9","1","1","18.447815","0","33"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","9","9","1","15.316109","0","16"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","43","8","1","64.688736","0","252"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","66","1","1","231.758377","0","2159"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","66","1","1","266.289520","0","2056"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","66","1","1","262.387482","0","2071"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","28","1","1","62.968899","0","358"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","9","1","1","16.339651","0","53"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","6","1","1","24.205767","0","26"
"/MovieRenderPipeline/Blueprints/M_MoviePipelineRenderPreview.M_MoviePipelineRenderPreview","0","11","1","1","10.206637","0","74"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","12","1","1","23.741333","0","91"
"/ControlRig/M_Manip.M_Manip","0","12","1","1","21.113861","0","82"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","66","2","2","144.660583","0","1028"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","4","1","1","8.023858","0","13"
"/MovieRenderPipeline/Materials/MovieRenderQueue_WorldDepth.MovieRenderQueue_WorldDepth","0","6","1","1","8.430250","0","23"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","6","1","1","9.870436","0","26"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","98","1","1","185.227890","0","1748"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","56","1","1","739.887817","0","592"
"/MovieRenderPipeline/Materials/MovieRenderQueue_MotionVectors.MovieRenderQueue_MotionVectors","0","6","1","1","7.793522","0","22"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","10","1","1","17.929310","0","44"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","101","1","1","254.856445","0","1692"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","167","7","1","424.749634","0","3579"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","1260","2","1","2821.323975","0","107216"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","29","1","1","60.583717","0","212"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","61","11","6","117.964783","0","306"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","1","1","7.711478","0","19"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","1","1","7.911988","0","17"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","43","1","1","51.400059","0","491"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","58","1","1","185.127747","0","634"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","84","1","1","286.255066","0","1245"
"/Game/Movies/IncreaseSpeedTransparent/speedSequencePlayer_Video_Mat.speedSequencePlayer_Video_Mat","0","16","1","1","19.837385","0","91"
"/Game/Movies/DissolveWoman/DissolveWifePlayer_Video_Mat.DissolveWifePlayer_Video_Mat","0","16","1","1","20.735569","0","92"
"/Game/Movies/DissolveWifeSofa/WifeSofaPlayer_Video_Mat.WifeSofaPlayer_Video_Mat","0","16","1","1","19.657679","0","80"
"/Game/Movies/DissolveSofa/SofaSequencePlayer_Video_Mat.SofaSequencePlayer_Video_Mat","0","16","1","1","20.243845","0","99"
"/Game/Movies/DissolveSmallTable/smallTableSequencePlayer_Video_Mat.smallTableSequencePlayer_Video_Mat","0","16","1","1","19.384815","0","89"
"/Game/Movies/DissolveBookshelf/BookshelfSequencePlayer_Video_Mat.BookshelfSequencePlayer_Video_Mat","0","16","1","1","19.843283","0","98"
"/Game/Movies/CarMovingSequence/carmMovingPlayer_Video_Mat.carmMovingPlayer_Video_Mat","0","16","2","1","19.600346","0","80"
"/Game/Movies/CarFireLineArt/CarFirePlayer_Video_Mat.CarFirePlayer_Video_Mat","0","16","1","1","20.131212","0","76"
"/Game/Movies/BreakingGlassSequence/GlassBreakingPlayer_Video_Mat.GlassBreakingPlayer_Video_Mat","0","16","1","1","20.407761","0","98"
"/Game/Movies/streetLightYellowDissolveOutPlayer_Video_Mat.streetLightYellowDissolveOutPlayer_Video_Mat","0","16","1","1","20.184490","0","118"
"/Game/Movies/streetLightBrownDissolveOutPlayer_Video_Mat.streetLightBrownDissolveOutPlayer_Video_Mat","0","16","1","1","19.275778","0","81"
"/Game/Movies/cloudsSequencePlayer_Video_Mat.cloudsSequencePlayer_Video_Mat","0","16","1","1","20.667770","0","100"
"/Game/Assets/VideoWidget/NewMediaPlayer_Video_Mat.NewMediaPlayer_Video_Mat","0","11","2","1","11.681516","0","48"
